Uid	Term	Term_Score
600	google play	53.70535
600	android tv	48.42155
600	shield	36.59625
600	boxes	32.40374
600	apps	31.21547
601	all	100
601	android	35.81115
601	apps	31.21547
602	all	100
602	google play	53.70535
602	play store	60.52608
603	all	100
603	android tv	48.42155
603	apps	31.21547
604	all	100
605	all	100
606	all	100
606	kodi	43.55359
607	all	100
607	google play	53.70535
607	play store	60.52608
607	assistant	30.47782
608	all	100
608	apps	31.21547
609	all	100
609	play store	60.52608
609	apps	31.21547
610	all	100
610	android tv	48.42155
610	apps	31.21547
611	all	100
611	sideload	38.56382
611	apps	31.21547
612	all	100
612	play store	60.52608
613	all	100
613	apps	31.21547
614	all	100
614	play store	60.52608
614	games	31.7364
614	apps	31.21547
615	all	100
616	all	100
616	apps	31.21547
617	all	100
618	all	100
618	assistant	34.81524
618	google	28.64112
619	all	100
619	apps	31.21547
620	all	100
620	android	35.81115
620	apps	31.21547
621	all	100
621	nvidia	40.76477
622	all	100
622	nvidia	40.76477
623	all	100
623	google play	53.70535
623	control	19.40601
623	remote	28.54707
623	apps	31.21547
624	all	100
624	plex	42.18784
625	all	100
625	apps	31.21547
626	all	100
626	nvidia	30.52926
626	canada	29.12842
627	all	100
627	shield	36.59625
627	apps	31.21547
628	all	100
628	shield	36.59625
628	plex	42.18784
629	all	100
629	nvidia	40.76477
629	google	28.64112
629	apps	31.21547
630	all	100
630	apps	31.21547
631	all	100
631	google play	53.70535
631	apps	31.21547
632	all	100
632	sideload	38.56382
632	google	28.64112
633	all	100
634	all	100
635	all	100
635	shield	36.59625
636	all	100
636	games	31.7364
636	apps	31.21547
637	all	100
638	all	100
638	plex	42.18784
639	all	100
639	apps	31.21547
640	all	100
640	streaming	32.39369
641	all	100
642	all	100
643	all	100
643	build quality	51.49747
643	controller	28.56096
643	nice	5.701327
643	also	5.641912
644	all	100
644	streaming	27.29296
644	nvidia	35.66807
644	gaming	27.7613
645	all	100
645	games	31.7364
646	all	100
647	all	100
